grade,category,skill,question
Pre-K,Comparing,Fewer,Which group has fewer?
Pre-K,Comparing,Fewer and more - compare by counting,
Pre-K,Comparing,Fewer and more - compare in a mixed group,
Pre-K,Comparing,"Fewer, more, and same",
Pre-K,Comparing,Are there enough?,Are there enough doghouses for every dog?yesno
Pre-K,Comparing,Compare numbers (larger and largest),
Pre-K,Comparing,Compare numbers (smaller and smallest),
Pre-K,Positions,Inside and outside,
Pre-K,Positions,Left and right,
Pre-K,Positions,"Left, middle, and right",
Pre-K,Positions,Top and bottom,
Pre-K,Positions,"Top, middle, and bottom",What is at the bottom?
Pre-K,Positions,Above and below,Which object is above the bench?.yui_3_18_1_1_1600317308411_14751 .st0 {clip-path:url(#SVGID_2_yui_3_18_1_1_1600317308411_14751);} .yui_3_18_1_1_1600317308411_14751 .st1 {fill:#C7C8CA;} .yui_3_18_1_1_1600317308411_14751 .st2 {fill:#A7A9AC;} .yui_3_18_1_1_1600317308411_14751 .st3 {fill:#C49F75;} .yui_3_18_1_1_1600317308411_14751 .st4 {fill:#D9BD93;} .yui_3_18_1_1_1600317308411_14751 .st5 {clip-path:url(#SVGID_4_yui_3_18_1_1_1600317308411_14751);} .yui_3_18_1_1_1600317308411_14751 .st6 {clip-path:url(#SVGID_6_yui_3_18_1_1_1600317308411_14751);} .yui_3_18_1_1_1600317308411_14751 .st7 {fill:#595959;fill-opacity:0;} Created with Snap Created with Snap Created with Snap
Pre-K,Positions,Beside and next to,Which object is next to the frog ?.yui_3_18_1_1_1600317318602_14871 .st0 {fill:#FEC465;} .yui_3_18_1_1_1600317318602_14871 .st1 {fill:#F99D1C;} .yui_3_18_1_1_1600317318602_14871 .st2 {fill:#FFD990;} .yui_3_18_1_1_1600317318602_14871 .st3 {fill:#FFEEBD;} .yui_3_18_1_1_1600317318602_14871 .st4 {clip-path:url(#SVGID_2_yui_3_18_1_1_1600317318602_14871);} .yui_3_18_1_1_1600317318602_14871 .st5 {fill:#A7A9AC;stroke:#A7A9AC;stroke-width:0.7539;stroke-linecap:round;stroke-linejoin:round;stroke-miterlimit:10;} .yui_3_18_1_1_1600317318602_14871 .st6 {fill:#FFEAB1;} .yui_3_18_1_1_1600317318602_14871 .st7 {clip-path:url(#SVGID_4_yui_3_18_1_1_1600317318602_14871);} .yui_3_18_1_1_1600317318602_14871 .st8 {fill:#595959;fill-opacity:0;} Created with Snap Created with Snap Created with Snap
Pre-K,Classify,Different,
Pre-K,Classify,Same,
Pre-K,Classify,Same and different,
Pre-K,Classify,Classify shapes by color,
Pre-K,Classify,Classify and sort by color,Sort the buttons.image/svg+xmlimage/svg+xmlimage/svg+xmlimage/svg+xmlpurplered
Pre-K,Classify,Classify and sort by shape,Sort the buttons.image/svg+xmlimage/svg+xmlimage/svg+xmlimage/svg+xmlflowerscircles
Pre-K,Patterns,Color patterns,Copy the pattern.
Pre-K,Patterns,Size patterns,Copy the pattern.
Pre-K,Patterns,Shape patterns,Copy the pattern.
Pre-K,Patterns,What comes next?,What shape comes next?
Pre-K,Size,Long and short,Which sandwich is shorter?
Pre-K,Size,Tall and short,Which lamp is shorter?
Pre-K,Size,Wide and narrow,Which lighthouse is wider?
Pre-K,Size,Light and heavy,
Pre-K,Size,Holds more or less,
Pre-K,Size,"Compare size, weight, and capacity",
Pre-K,Money,Pennies and nickels,Which coin is this?pennynickel
Pre-K,Money,Dimes and quarters,
Pre-K,Money,"Pennies, nickels, dimes, and quarters",Which coin is this?pennynickel
Pre-K,Money,Count pennies,How much money is there?¢
Pre-K,Flat shapes,Name the shape,
Pre-K,Flat shapes,Circles,Which shape is a circle? 
Pre-K,Flat shapes,Triangles,
Pre-K,Flat shapes,Squares,Which shape is a square? 
Pre-K,Flat shapes,Rectangles,Which shape is a rectangle?
Pre-K,Flat shapes,"Circles, squares, and triangles",Which shape is a triangle?
Pre-K,Solid shapes,Flat and solid shapes,
Pre-K,Solid shapes,Name the solid shape,
Pre-K,Solid shapes,Spheres,Which shape is a sphere?
Pre-K,Solid shapes,Cubes,
Pre-K,Solid shapes,Cones,
Pre-K,Solid shapes,Cylinders,
Pre-K,Solid shapes,Select solid shapes,
